faction,rank,kind,detachments,sources,dp_cost,chapter_lock,force_dispositions,score_total,score_primary,score_secondary,score_inventory,score_rule_stratagem,score_enhancement,score_flexibility,coverage_pct,confidence,supported,partial,unsupported
Blood Angels,42,combination,BASTION TASK FORCE + ENCARMINE SPEARTIP,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + TAKE AND HOLD,83.82,88.78,88.57,94.38,71.13,62.47,91.4,28.64,low,0,8,9
Blood Angels,43,combination,BASTION TASK FORCE + LEGACY OF GRACE,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + TAKE AND HOLD,83.81,86.99,89.67,94.38,77.35,50.8,91.4,41.97,medium,1,9,7
Blood Angels,44,combination,ENCARMINE SPEARTIP + VENGEFUL HOSTS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE + TAKE AND HOLD,83.81,90.33,89.76,94.38,68.94,60.65,91.4,33.33,low,0,10,8
Blood Angels,45,combination,LEGACY OF GRACE + VENGEFUL HOSTS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + PURGE THE FOE + TAKE AND HOLD,83.75,88.83,90.53,94.38,73.09,52.87,91.4,42.22,medium,1,11,6
Blood Angels,46,combination,LEGACY OF GRACE + VENGEFUL HOSTS,Blood Angels + Blood Angels,2,Blood Angels,PRIORITY ASSETS + TAKE AND HOLD,83.73,87.34,89.23,94.38,74.15,56.81,91.4,48.34,medium,1,8,3
Blood Angels,47,combination,VENGEFUL HOSTS + WRATH OF THE DOOMED,Blood Angels + Blood Angels,2,Blood Angels,PURGE THE FOE + TAKE AND HOLD,83.73,89.52,88.76,94.38,72.07,57.71,91.4,35,low,0,7,5
Blood Angels,48,combination,BASTION TASK FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + TAKE AND HOLD,83.57,88.67,88.68,94.38,75.27,51.7,91.4,28.64,low,0,8,9
Blood Angels,49,combination,SUBVERSION ASSETS + THE ANGELIC HOST,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION,83.47,89.49,89.15,89.88,73.46,64.86,82.49,51.82,medium,0,14,3
Blood Angels,50,combination,VANGUARD SPEARHEAD + VENGEFUL HOSTS,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,83.29,90.35,89.02,94.38,63.89,67.4,91.4,44.55,medium,0,13,4
Blood Angels,51,single,THE LOST BRETHREN,Blood Angels,2,Blood Angels,PURGE THE FOE,83.29,87.91,87.79,94.38,75.14,52.85,91.4,27.27,low,0,5,6
Blood Angels,52,combination,ANVIL SIEGE FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION + TAKE AND HOLD,83.25,89.52,88.88,89.88,72.73,65.63,80.69,46.36,medium,0,12,5
Blood Angels,53,combination,ORBITAL ASSAULT FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION + TAKE AND HOLD,83.23,87.9,87.66,89.88,69.82,77.57,80.69,43.64,medium,0,11,6
Blood Angels,54,combination,ENCARMINE SPEARTIP + SUBVERSION ASSETS + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + TAKE AND HOLD,83.22,90.38,89.68,91.38,68.15,66.07,84.26,43.33,medium,0,13,5
Blood Angels,55,combination,LEGACY OF GRACE + SUBVERSION ASSETS + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + TAKE AND HOLD,83.17,88.47,90.8,91.38,72.29,58.29,84.26,52.22,medium,1,14,3
Blood Angels,56,combination,1ST COMPANY TASK FORCE + ENCARMINE SPEARTIP,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE,83.11,89.11,88.94,94.38,67.16,60.87,93.2,39.55,low,0,12,5
Blood Angels,57,combination,ENCARMINE SPEARTIP + THE LOST BRETHREN,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE,83.09,88.76,88.57,94.38,68.91,59.69,91.4,28.64,low,0,8,9
Blood Angels,58,combination,SUBVERSION ASSETS + VENGEFUL HOSTS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE + TAKE AND HOLD,83.07,90.33,89.76,91.38,70.9,58.89,84.26,43.33,medium,0,13,5
Blood Angels,59,combination,LEGACY OF GRACE + THE LOST BRETHREN,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + PURGE THE FOE,83.06,86.84,89.67,94.38,75.13,48.03,91.4,41.97,medium,1,9,7
Blood Angels,60,single,1ST COMPANY TASK FORCE,Blood Angels,2,,PURGE THE FOE,83.04,88.35,87.95,94.38,71.64,55.21,93.2,49.09,medium,0,9,2
Blood Angels,61,combination,ENCARMINE SPEARTIP + STORMLANCE TASK FORCE,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION,83,89.1,88.3,94.38,60.65,75.25,91.4,36.82,low,0,11,6
Blood Angels,62,single,STORMLANCE TASK FORCE,Blood Angels,2,,DISRUPTION,82.97,87.97,87.25,94.38,58.61,83.96,91.4,43.64,medium,0,8,3
Blood Angels,63,combination,1ST COMPANY TASK FORCE + LEGACY OF GRACE,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + PURGE THE FOE,82.95,87,89.66,94.38,73.38,49.21,93.2,52.88,medium,1,13,3
Blood Angels,64,combination,SUBVERSION ASSETS + VENGEFUL HOSTS,Blood Angels + Blood Angels,2,,DISRUPTION + TAKE AND HOLD,82.89,89.52,88.88,89.88,70.88,65.84,80.69,50,medium,0,10,2
Blood Angels,65,combination,1ST COMPANY TASK FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE,82.89,89.14,89,94.38,71.3,50.11,93.2,39.55,low,0,12,5
Blood Angels,66,combination,ENCARMINE SPEARTIP + HEADHUNTER TASK FORCE,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS,82.88,89.75,88.57,94.38,59.51,74.41,91.4,28.64,low,0,8,9
Blood Angels,67,combination,THE LOST BRETHREN + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE,82.86,88.71,88.68,94.38,73.05,48.93,91.4,28.64,low,0,8,9
Blood Angels,68,single,ARMOURED SPEARTIP,Blood Angels,3,,TAKE AND HOLD,82.75,87.8,87.25,94.38,57.59,84.1,91.4,43.64,medium,0,8,3
Blood Angels,69,combination,STORMLANCE TASK FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE,82.74,88.94,88.39,94.38,64.78,64.48,91.4,36.82,low,0,11,6
Blood Angels,70,combination,BASTION TASK FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION + TAKE AND HOLD,82.71,88.78,88.57,89.88,74.07,59.83,80.69,43.64,medium,0,11,6
Blood Angels,71,combination,LEGACY OF GRACE + STORMLANCE TASK FORCE,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS,82.7,86.33,89.02,94.38,66.86,63.58,91.4,50.16,medium,1,12,4
Blood Angels,72,combination,HEADHUNTER TASK FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + PURGE THE FOE,82.61,89.51,88.68,94.38,63.65,63.65,91.4,28.64,low,0,8,9
Blood Angels,73,combination,HEADHUNTER TASK FORCE + LEGACY OF GRACE,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS,82.55,86.31,89.67,94.38,65.73,62.75,91.4,41.97,medium,1,9,7
Blood Angels,74,single,HEADHUNTER TASK FORCE,Blood Angels,2,,PRIORITY ASSETS,82.53,88.22,87.79,94.38,56.34,82.29,91.4,27.27,low,0,5,6
Blood Angels,75,combination,FULGURIS TASK FORCE + IRONSTORM SPEARHEAD,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,82.47,89.48,88.38,94.38,74.42,41.46,91.4,24.09,low,0,8,9
Blood Angels,76,combination,FIRESTORM ASSAULT FORCE + FULGURIS TASK FORCE,Blood Angels + Blood Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,82.44,89.37,88,94.38,74.31,42.61,91.4,26.82,low,0,9,8
Blood Angels,77,combination,ENCARMINE SPEARTIP + LEGACY OF GRACE + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + PURGE THE FOE,82.4,87.2,89.76,94.38,69.59,51.58,91.4,38.89,low,1,10,7
Blood Angels,78,combination,ENCARMINE SPEARTIP + FULGURIS TASK FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,82.23,90.42,89.38,94.38,68.96,45.65,91.4,26.67,low,0,8,10
Blood Angels,79,combination,ENCARMINE SPEARTIP + LEGACY OF GRACE,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION + PRIORITY ASSETS,82.1,85.82,88.88,94.38,68.9,54.87,91.4,43.34,medium,1,7,4
Blood Angels,80,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + RECONNAISSANCE + TAKE AND HOLD,82.07,90.31,89.48,94.38,71.72,38.47,91.4,26.67,low,0,8,10
Blood Angels,81,combination,FULGURIS TASK FORCE + LEGACY OF GRACE + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,82.06,88.35,90.15,94.38,73.11,37.87,91.4,35.56,low,1,9,8
Blood Angels,82,combination,FULGURIS TASK FORCE + THE ANGELIC HOST,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE,82.04,89.52,88.94,94.38,74.68,34.24,93.2,26.82,low,0,9,8
Blood Angels,83,combination,1ST COMPANY TASK FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION + PURGE THE FOE,82,89.11,88.94,89.88,70.1,58.23,82.49,54.55,medium,0,15,2
Blood Angels,84,combination,SUBVERSION ASSETS + THE LOST BRETHREN,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE,81.98,88.76,88.57,89.88,71.85,57.05,80.69,43.64,medium,0,11,6
Blood Angels,85,combination,LEGACY OF GRACE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,2,Blood Angels,PRIORITY ASSETS + PURGE THE FOE,81.89,86.16,88.76,94.38,73.04,44.1,91.4,43.34,medium,1,7,4
Blood Angels,86,combination,ENCARMINE SPEARTIP + WRATH OF THE DOOMED,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION + PURGE THE FOE,81.89,87.94,87.66,94.38,66.82,55.77,91.4,30,low,0,6,6
Blood Angels,87,combination,STORMLANCE TASK FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION,81.88,89.1,88.3,89.88,63.59,72.6,80.69,51.82,medium,0,14,3
Blood Angels,88,combination,ENCARMINE SPEARTIP + LEGACY OF GRACE + SUBVERSION ASSETS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS,81.79,87.12,89.68,91.38,68.79,56.99,84.26,48.89,medium,1,13,4
Blood Angels,89,combination,HEADHUNTER TASK FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,3,,DISRUPTION + PRIORITY ASSETS,81.77,89.75,88.57,89.88,62.45,71.77,80.69,43.64,medium,0,11,6
Blood Angels,90,combination,FULGURIS TASK FORCE + ORBITAL ASSAULT FORCE,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,81.77,87.87,87.4,94.38,71.04,46.95,91.4,18.63,low,0,6,11
Blood Angels,91,single,ENCARMINE SPEARTIP,Blood Angels,1,Blood Angels,DISRUPTION,81.75,87.11,86.75,94.38,62.69,66.53,91.4,30,low,0,3,3
Blood Angels,92,combination,ANVIL SIEGE FORCE + FULGURIS TASK FORCE,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,81.73,89.48,88.38,94.38,73.96,35,91.4,21.37,low,0,7,10
Blood Angels,93,combination,LEGACY OF GRACE + SUBVERSION ASSETS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + PURGE THE FOE,81.66,87.2,89.76,91.38,71.55,49.82,84.26,48.89,medium,1,13,4
Blood Angels,94,combination,ENCARMINE SPEARTIP + VANGUARD SPEARHEAD,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE,81.64,89.22,88.3,94.38,58.64,65.46,91.4,39.55,low,0,12,5
Blood Angels,95,combination,ENCARMINE SPEARTIP + SUBVERSION ASSETS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE,81.57,88.7,88.39,91.38,67.4,57.59,84.26,40,low,0,12,6
Blood Angels,96,single,LEGACY OF GRACE,Blood Angels,1,Blood Angels,PRIORITY ASSETS,81.51,84.28,87.46,94.38,75.12,43.2,91.4,56.67,medium,1,4,1
Blood Angels,97,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,81.49,90.42,89.38,91.38,70.92,43.89,84.26,36.67,low,0,11,7
Blood Angels,98,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS,Blood Angels + Blood Angels,2,,RECONNAISSANCE + TAKE AND HOLD,81.38,89.48,88.38,94.38,72.1,35.21,91.4,25,low,0,5,7
Blood Angels,99,combination,VANGUARD SPEARHEAD + WRATH OF THE DOOMED,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + RECONNAISSANCE,81.35,88.93,88.39,94.38,62.78,54.69,91.4,39.55,low,0,12,5
Blood Angels,100,combination,LEGACY OF GRACE + VANGUARD SPEARHEAD,Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + RECONNAISSANCE,81.33,86.37,89.02,94.38,64.86,53.79,91.4,52.88,medium,1,13,3
Blood Angels,101,single,WRATH OF THE DOOMED,Blood Angels,1,Blood Angels,PURGE THE FOE,81.26,87.03,86.88,94.38,70.96,45,91.4,30,low,0,3,3
Blood Angels,102,combination,BASTION TASK FORCE + FULGURIS TASK FORCE,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,81.25,88.76,88.3,94.38,75.3,29.2,91.4,18.63,low,0,6,11
Blood Angels,103,combination,ENCARMINE SPEARTIP + SUBVERSION ASSETS,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION,81.01,88.12,87.45,89.88,65.63,63.89,80.69,45,medium,0,9,3
Blood Angels,104,combination,LEGACY OF GRACE + SUBVERSION ASSETS,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION + PRIORITY ASSETS,80.99,85.82,88.88,89.88,71.84,52.23,80.69,58.34,medium,1,10,1
Blood Angels,105,combination,SUBVERSION ASSETS + WRATH OF THE DOOMED,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION + PURGE THE FOE,80.78,87.94,87.66,89.88,69.76,53.13,80.69,45,medium,0,9,3
Blood Angels,106,combination,ENCARMINE SPEARTIP + FULGURIS TASK FORCE + LEGACY OF GRACE,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + RECONNAISSANCE,80.78,87.04,89.38,94.38,69.61,36.58,91.4,32.22,low,1,8,9
Blood Angels,107,combination,FULGURIS TASK FORCE + LEGACY OF GRACE + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + PURGE THE FOE + RECONNAISSANCE,80.66,87.14,89.48,94.38,72.36,29.4,91.4,32.22,low,1,8,9
Blood Angels,108,combination,ENCARMINE SPEARTIP + FULGURIS TASK FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE + RECONNAISSANCE,80.65,88.98,88.18,94.38,68.22,37.18,91.4,23.33,low,0,7,11
Blood Angels,109,combination,1ST COMPANY TASK FORCE + FULGURIS TASK FORCE,Blood Angels + Blood Angels,3,,PURGE THE FOE + RECONNAISSANCE,80.54,89.1,88.62,94.38,71.33,27.61,93.2,29.55,low,0,10,7
Blood Angels,110,combination,SUBVERSION ASSETS + VANGUARD SPEARHEAD,Blood Angels + Blood Angels,3,,DISRUPTION + RECONNAISSANCE,80.53,89.22,88.3,89.88,61.58,62.82,80.69,54.55,medium,0,15,2
Blood Angels,111,combination,FULGURIS TASK FORCE + THE LOST BRETHREN,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + RECONNAISSANCE,80.53,88.76,88.3,94.38,73.08,26.43,91.4,18.63,low,0,6,11
Blood Angels,112,combination,FULGURIS TASK FORCE + STORMLANCE TASK FORCE,Blood Angels + Blood Angels,3,,DISRUPTION + RECONNAISSANCE,80.43,89.11,88,94.38,64.81,41.98,91.4,26.82,low,0,9,8
Blood Angels,113,combination,FULGURIS TASK FORCE + HEADHUNTER TASK FORCE,Blood Angels + Blood Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,80.29,89.59,88.3,94.38,63.68,41.15,91.4,18.63,low,0,6,11
Blood Angels,114,single,VANGUARD SPEARHEAD,Blood Angels,2,,RECONNAISSANCE,80.2,87.93,87.25,94.38,54.6,64.38,91.4,49.09,medium,0,9,2
Blood Angels,115,combination,ENCARMINE SPEARTIP + FULGURIS TASK FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE,80.11,89.43,87.94,91.38,67.42,42.59,84.26,33.33,low,0,10,8
Blood Angels,116,combination,FULGURIS TASK FORCE + LEGACY OF GRACE + SUBVERSION ASSETS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + RECONNAISSANCE,80.04,87.04,89.38,91.38,71.57,34.82,84.26,42.22,medium,1,11,6
Blood Angels,117,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE + RECONNAISSANCE,79.91,88.98,88.18,91.38,70.18,35.42,84.26,33.33,low,0,10,8
Blood Angels,118,combination,ENCARMINE SPEARTIP + FULGURIS TASK FORCE,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION + RECONNAISSANCE,79.61,88.27,87.24,94.38,66.85,33.27,91.4,20,low,0,4,8
Blood Angels,119,single,SUBVERSION ASSETS,Blood Angels,1,,DISRUPTION,79.52,87.11,86.75,85.38,68.57,61.25,69.98,60,medium,0,6,0
Blood Angels,120,combination,FULGURIS TASK FORCE + LEGACY OF GRACE,Blood Angels + Blood Angels,2,Blood Angels,PRIORITY ASSETS + RECONNAISSANCE,79.46,85.71,88.38,94.38,73.07,21.6,91.4,33.34,low,1,5,6
Blood Angels,121,combination,FULGURIS TASK FORCE + WRATH OF THE DOOMED,Blood Angels + Blood Angels,2,Blood Angels,PURGE THE FOE + RECONNAISSANCE,79.33,87.94,87.4,94.38,70.99,22.5,91.4,20,low,0,4,8
Blood Angels,122,combination,FULGURIS TASK FORCE + VANGUARD SPEARHEAD,Blood Angels + Blood Angels,3,,RECONNAISSANCE,79.09,89.29,88,94.38,62.81,32.19,91.4,29.55,low,0,10,7
Blood Angels,123,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS,Blood Angels + Blood Angels,2,,DISRUPTION + RECONNAISSANCE,78.5,88.27,87.24,89.88,69.79,30.63,80.69,35,low,0,7,5
Blood Angels,124,combination,ENCARMINE SPEARTIP + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,77.64,89.68,89.27,85.38,49.37,63.22,82.29,43.33,medium,0,13,5
Blood Angels,125,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + RECONNAISSANCE + TAKE AND HOLD,77.45,89.69,89.15,85.38,52.13,56.05,82.29,43.33,medium,0,13,5
Blood Angels,126,combination,LEGACY OF GRACE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,77.33,87.45,89.62,85.38,53.52,55.45,82.29,52.22,medium,1,14,3
Blood Angels,127,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,76.9,89.68,89.27,82.38,51.33,61.46,75.15,53.33,medium,0,16,2
Blood Angels,128,single,FULGURIS TASK FORCE,Blood Angels,1,,RECONNAISSANCE,76.73,87.29,86.49,94.38,71.01,0,91.4,10,low,0,1,5
Blood Angels,129,combination,ENCARMINE SPEARTIP + LEGACY OF GRACE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + RECONNAISSANCE,76.15,86.14,89.27,85.38,50.02,54.15,82.29,48.89,medium,1,13,4
Blood Angels,130,combination,ENCARMINE SPEARTIP + LIBRARIUS CONCLAVE + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE + RECONNAISSANCE,76.1,88.46,88.05,85.38,48.63,54.75,82.29,40,low,0,12,6
Blood Angels,131,combination,LEGACY OF GRACE + LIBRARIUS CONCLAVE + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + PURGE THE FOE + RECONNAISSANCE,76,86.33,89.15,85.38,52.77,46.97,82.29,48.89,medium,1,13,4
Blood Angels,132,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Blood Angels + Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,75.83,89.55,88.76,85.38,52.15,41.05,82.29,36.67,low,0,11,7
Blood Angels,133,combination,ENCARMINE SPEARTIP + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE,75.54,88.75,87.87,82.38,47.83,60.17,75.15,50,medium,0,15,3
Blood Angels,134,combination,IRONSTORM SPEARHEAD + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,75.53,88.61,87.84,80.88,45.04,67.82,77.74,49.09,medium,0,13,4
Blood Angels,135,combination,FIRESTORM ASSAULT FORCE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,75.47,88.08,87.63,80.88,44.92,68.97,77.74,51.82,medium,0,14,3
Blood Angels,136,combination,LEGACY OF GRACE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PRIORITY ASSETS + RECONNAISSANCE,75.41,86.14,89.27,82.38,51.98,52.39,75.15,58.89,medium,1,16,1
Blood Angels,137,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + PURGE THE FOE + RECONNAISSANCE,75.35,88.46,88.05,82.38,50.59,52.99,75.15,50,medium,0,15,3
Blood Angels,138,combination,LIBRARIUS CONCLAVE + THE ANGELIC HOST,Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE,75.18,88.56,88.78,80.88,45.3,60.6,79.54,51.82,medium,0,14,3
Blood Angels,139,combination,LIBRARIUS CONCLAVE + ORBITAL ASSAULT FORCE,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,74.96,87.1,87.26,80.88,41.66,73.31,77.74,43.64,medium,0,11,6
Blood Angels,140,combination,ANVIL SIEGE FORCE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,74.8,88.61,87.84,80.88,44.58,61.36,77.74,46.36,medium,0,12,5
Blood Angels,141,combination,ENCARMINE SPEARTIP + FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,DISRUPTION + RECONNAISSANCE,74.54,88.63,87.66,85.38,48.65,39.75,82.29,33.33,low,0,10,8
Blood Angels,142,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Blood Angels + Blood Angels,2,,RECONNAISSANCE + TAKE AND HOLD,74.45,88.61,87.84,80.88,42.72,61.57,77.74,50,medium,0,10,2
Blood Angels,143,combination,BASTION TASK FORCE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels,3,,RECONNAISSANCE + TAKE AND HOLD,74.44,87.99,88.17,80.88,45.91,55.56,77.74,43.64,medium,0,11,6
Blood Angels,144,combination,FULGURIS TASK FORCE + LEGACY OF GRACE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PRIORITY ASSETS + RECONNAISSANCE,74.32,85.91,88.76,85.38,52.79,31.97,82.29,42.22,medium,1,11,6
Blood Angels,145,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + WRATH OF THE DOOMED,Blood Angels + Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + RECONNAISSANCE,74.31,88.17,87.78,85.38,51.41,32.57,82.29,33.33,low,0,10,8
Blood Angels,146,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Blood Angels + Blood Angels + Blood Angels,3,,DISRUPTION + RECONNAISSANCE,73.8,88.63,87.66,82.38,50.61,37.99,75.15,43.33,medium,0,13,5
Blood Angels,147,combination,LIBRARIUS CONCLAVE + THE LOST BRETHREN,Blood Angels + Blood Angels,3,Blood Angels,PURGE THE FOE + RECONNAISSANCE,73.75,88.15,88.17,80.88,43.7,52.79,77.74,43.64,medium,0,11,6
Blood Angels,148,combination,1ST COMPANY TASK FORCE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels,3,,PURGE THE FOE + RECONNAISSANCE,73.72,88.46,88.34,80.88,41.95,53.97,79.54,54.55,medium,0,15,2
Blood Angels,149,combination,LIBRARIUS CONCLAVE + STORMLANCE TASK FORCE,Blood Angels + Blood Angels,3,,DISRUPTION + RECONNAISSANCE,73.51,88.09,87.63,80.88,35.43,68.34,77.74,51.82,medium,0,14,3
Blood Angels,150,combination,HEADHUNTER TASK FORCE + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,73.38,88.3,88.17,80.88,34.29,67.51,77.74,43.64,medium,0,11,6
Blood Angels,151,combination,ENCARMINE SPEARTIP + LIBRARIUS CONCLAVE,Blood Angels + Blood Angels,2,Blood Angels,DISRUPTION + RECONNAISSANCE,72.82,87.57,87.15,80.88,37.47,59.63,77.74,45,medium,0,9,3
